NETWORK_ID,ROUTE_NOS,lng,lat
6575,"1,101,16,16S,26,26A,3,33,3X,61,6A,71S,MT4,N1B",,
6579,"10,11,18,2,21A,21AT,26AT,3A,5,N3",,
6576,"101,26A,3,33,3X,6A,N1B",,
6580,"10,101,11,18,2,21A,21AT,26A,26AT,3,33,3A,3X,5,6A,N1B,N3",,
6586,"12,2A,8,8A,9,9A,H1,H2",,
6587,"12,18,18A,18B,19,2,22,25,25B,2A,4,7,8,8A,9,9A,H1,H2",,
6597,"15T,21A",,
6638,"15T,21A,26A,N3",,
6687,"21A,25,26,26A,50,59,N3",,
6712,"26,35,36,37,72,MT5,N2,N5",,
6718,"26,36,MT5,N2",,
6719,MT5,,
6734,"101,1A,32,3X,51A,5X,H2,MT4,N1B,N2",,
6737,"101,1A,23,26A,27,N1B",,
6750,"26,36,51B",,
6754,"22,28A,33,3A,8A,H1",,
6756,"23,29,32,3BX,3X,9,9A,N1B,N2",,
6751,29,,
6760,"1A,32,33,4",,
6761,33,,
6765,9,,
6767,"1,10,101,101XS,17T,18,25,25B,27,29,3,30,34,9A,AP1,N1A",,
6768,"1,10,101,101XS,16,16S,17T,18,25,25B,27,29,3,30,34,65,9,9A,AP1,N1A",,
6772,"35,N2,N3",,
6774,"35,36",,
6775,"35,36,N2,N3",,
6776,"35,N2,N3",,
6789,"102,52,55,71,73,H3",,
6799,"21AT,25B,26A,26AT,35,71S,72,MT1,MT3",,
6802,"21AT,25B,25BS,26A,26AT,30X,35,72,MT1,MT3",,
6803,"21AT,25B,26A,26AT,30X,35,72,MT1,MT3",,
6797,25BS,,
6807,"39,72",,
6810,"11,37,39,72",,
6811,"11,37",,
6808,"39,72",,
6815,"21AT,25B,25BS,26A,26AT,30X,35,51A,701X,MT1,MT3",,
6819,"102,52,55,71,71S,72,73,H3",,
6820,"102,52,55,71,73,H3",,
6821,"701X,71,71S,72,73,N6",,
6823,N6,,
6826,"71,71S,72,73,N6",,
6830,"11,25,25AX,25B,MT1,MT2",,
6837,N5,,
6841,"35,50,50B,N5",,
6839,"50,N5",,
6844,50,,
6845,50,,
6856,"35,50,50B,701X,N5",,
6857,"35,50B",,
6854,"50,701X,N5",,
6860,"15T,52,55",,
6863,"21A,25,26,26A,50,59,N3",,
6867,"15T,52,55",,
6870,"21A,25,26,26A,50,59,N3",,
6871,"21A,25,26,26A,50,59,N3",,
6877,"26,N2",,
6881,"26,MT4,N2,N3",,
6882,"26,26AT,55,71S,MT4,N2,N3",,
6884,"21AT,71,73",,
6879,"26AT,55,71S",,
6886,9,,
6888,6B,,
6892,"6B,9",,
6895,"26,N2",,
